Unified App,Unified App Name,Market,Market Name,Company,Company Name,Company HQ,Company HQ Name,Parent Company,Parent Company Name,Start Date,End Date,Country/Region (from filter),Downloads,Cumulative Downloads,Revenue,Cumulative Revenue,RPD,Usage Penetration,Active Users,Install Penetration,Install Base,Open Rate,Avg Sessions / User,Avg Session Duration,Avg Time / User,Total Time,Avg Active Days,% Active Days,Share of Category Time,Avg MB / User,Avg MB / Session,Paid Downloads,Organic Downloads,% Paid Downloads,% Organic Downloads,Cumulative Avg Ratings,Cumulative Total Ratings,Incremental Avg Ratings,Incremental Total Ratings,Cumulative Favorable %,Cumulative Critical %,Incremental Favorable %,Incremental Critical %
1000600000809041,MACH,all,All Markets,1000200000481228,Banco Crédito e Inversiones,US,United States,1000200000481228,Banco Crédito e Inversiones,2016-12-04,2016-12-10,Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000600000809041,MACH,all,All Markets,1000200000481228,Banco Crédito e Inversiones,US,United States,1000200000481228,Banco Crédito e Inversiones,2016-12-11,2016-12-17,Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000600000809041,MACH,all,All Markets,1000200000481228,Banco Crédito e Inversiones,US,United States,1000200000481228,Banco Crédito e Inversiones,2016-12-18,2016-12-24,Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000600000809041,MACH,all,All Markets,1000200000481228,Banco Crédito e Inversiones,US,United States,1000200000481228,Banco Crédito e Inversiones,2016-12-25,2016-12-31,Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000600000809041,MACH,all,All Markets,1000200000481228,Banco Crédito e Inversiones,US,United States,1000200000481228,Banco Crédito e Inversiones,2017-01-01,2017-01-07,Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000600000809041,MACH,all,All Markets,1000200000481228,Banco Crédito e Inversiones,US,United States,1000200000481228,Banco Crédito e Inversiones,2017-01-08,2017-01-14,Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000600000809041,MACH,all,All Markets,1000200000481228,Banco Crédito e Inversiones,US,United States,1000200000481228,Banco Crédito e Inversiones,2017-01-15,2017-01-21,Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000600000809041,MACH,all,All Markets,1000200000481228,Banco Crédito e Inversiones,US,United States,1000200000481228,Banco Crédito e Inversiones,2017-01-22,2017-01-28,Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000600000809041,MACH,all,All Markets,1000200000481228,Banco Crédito e Inversiones,US,United States,1000200000481228,Banco Crédito e Inversiones,2017-01-29,2017-02-04,Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000600000809041,MACH,all,All Markets,1000200000481228,Banco Crédito e Inversiones,US,United States,1000200000481228,Banco Crédito e Inversiones,2017-02-05,2017-02-11,Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
